Player,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Xavier Gipson,33,2,66,1,1,1,65,1,0
Jamal Agnew,29,2,58,0,1,1,48,0,0
DeeJay Dallas,18,1,18,0,0,0,18,0,0
Jayden Reed,18,3,54,0,1,0,35,0,0
Kalif Raymond,16,1,16,0,0,0,16,3,0
Britain Covey,15,2,30,0,1,0,25,1,0
Tank Dell,14,1,14,0,0,0,14,2,0
Ray-Ray McCloud,13.7,3,41,0,0,0,19,1,0
Isaiah McKenzie,10,2,20,0,0,0,16,2,0
Robert Woods,10,1,10,0,0,0,10,1,0
Kearis Jackson,9.2,4,37,0,0,0,14,0,0
KaVontae Turpin,8.5,2,17,0,0,0,10,0,0
Charlie Jones,8,3,24,0,0,0,15,1,0
Trent Taylor,8,2,16,0,0,0,8,1,0
Deven Thompkins,7.2,4,29,0,0,0,16,0,0
Eric Gray,7,1,7,0,0,0,7,0,0
Marcus Jones,7,3,21,0,1,0,21,1,1
Kyren Williams,7,1,7,0,0,0,7,0,0
Greg Dortch,6,4,24,0,0,0,13,1,0
Richie James,5.3,3,16,0,0,0,9,1,0
Donovan Peoples-Jones,5,3,15,0,0,0,6,4,0
Ihmir Smith-Marsette,4.7,3,14,0,0,0,13,1,0
Brandon Powell,4.5,4,18,0,0,0,7,0,0
Deonte Harty,4,1,4,0,0,0,4,2,0
Scott Miller,4,1,4,0,0,0,4,0,0
