Player,Pass Yds,Yds/Att,Att,Cmp,Cmp %,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Tua Tagovailoa,466,10.4,45,28,62.2,3,1,110,23,51.1,8,1,47,0,0
Kirk Cousins,344,7.8,44,33,75,2,1,102.8,15,34.1,5,1,42,2,16
Matthew Stafford,334,8.8,38,24,63.2,0,0,91.3,17,44.7,6,1,44,0,0
Mac Jones,316,5.8,54,35,64.8,3,1,91.3,18,33.3,2,0,32,2,10
Derek Carr,305,9.2,33,23,69.7,1,1,96.2,12,36.4,5,2,45,4,23
Jared Goff,253,7.2,35,22,62.9,1,0,94.1,11,31.4,4,0,33,1,3
Jordan Love,245,9.1,27,15,55.6,3,0,123.2,10,37,4,1,51,1,8
C.J. Stroud,242,5.5,44,28,63.6,0,0,78,13,29.6,1,0,26,5,46
Trevor Lawrence,241,7.5,32,24,75,2,1,103.8,10,31.2,3,0,29,2,4
Josh Allen,236,5.8,41,29,70.7,1,3,62.6,11,26.8,1,0,26,5,19
Kenny Pickett,232,5,46,31,67.4,1,2,68.4,9,19.6,2,0,31,5,34
Justin Herbert,228,6.9,33,23,69.7,1,0,99,10,30.3,3,0,36,3,29
Patrick Mahomes,226,5.8,39,21,53.8,2,1,77.5,10,25.6,4,0,34,0,0
Anthony Richardson,223,6,37,24,64.9,1,1,79,12,32.4,3,0,39,4,8
Brock Purdy,220,7.6,29,19,65.5,2,0,111.3,13,44.8,3,0,23,3,17
Justin Fields,216,5.8,37,24,64.9,1,1,78.2,12,32.4,2,0,23,4,27
Sam Howell,202,6.5,31,19,61.3,1,1,77.6,10,32.3,1,0,32,6,46
Jimmy Garoppolo,200,7.7,26,20,76.9,2,1,107.8,11,42.3,2,0,21,0,0
Ryan Tannehill,198,5.8,34,16,47.1,0,3,28.8,8,23.5,3,1,46,3,17
Russell Wilson,177,5.2,34,27,79.4,2,0,108,11,32.4,2,0,21,2,11
Baker Mayfield,173,5.1,34,21,61.8,2,0,94.4,9,26.5,1,0,28,1,4
Jalen Hurts,170,5.2,33,22,66.7,1,0,89.2,8,24.2,1,0,23,3,16
Lamar Jackson,169,7.7,22,17,77.3,0,1,79.6,8,36.4,3,0,29,4,14
Deshaun Watson,154,5.3,29,16,55.2,1,1,67.3,9,31,2,0,33,3,10
Bryce Young,146,3.8,38,20,52.6,1,2,48.8,9,23.7,0,0,14,2,19
